"If you use any of the data presented in this website, we ask you to please reference the author in the following suggested format: ",,,,,,,,,,,,,,,,,
"Liljedahl, A. (year of retrieval). Climate data from the Goldstream Creek Watershed study of Methane Release from Thermokarst Lakes. University of Alaska Fairbanks, Water and Environmental Research Center. ",,,,,,,,,,,,,,,,,
"URL: http://ine.uaf.edu/werc/werc-projects/goldstream/ Fairbanks, Alaska, variously paged. [month and day of retrieval].",,,,,,,,,,,,,,,,,
see readme-20200623.txt file for metadata,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
GSM1 Doughnut Lake Met  2015-2019 Last Updated EKY  15Jan2019,,,,,,,,,,,,,,,,,
Meteorological Data,,,,,,,,,,,,,,,,,
Lat:64.889,,,,,,,,,,,,,,,,,
Long:-147.908,,,,,,,,,,,,,,,,,
Elev:175 m,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Col.  Data Type  Units,,,,,,,,,,,,,,,,,
1. Date Time (Alaska Standard Time),,,,,,,,,,,,,,,,,
2. 2 m Air Temperature (deg C),,,,,,,,,,,,,,,,,
3. 2 m Relative Humidity (%),,,,,,,,,,,,,,,,,
4. 3 m Wind Speed  (m/s),,,,,,,,,,,,,,,,,
5. 3 m Wind Direction  (degrees),,,,,,,,,,,,,,,,,
6. 3 m Wind Speed Maximum  (degrees),,,,,,,,,,,,,,,,,
7. Station Pressure (mbar),,,,,,,,,,,,,,,,,
8. Rainfall  (mm),,,,,,,,,,,,,,,,,
9. Net Radiation (W/m2),,,,,,,,,,,,,,,,,
10. Snow Depth (cm),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Flags 6999-bad/missing, 7777-not collected",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Date/Time,Air_Temperature_C_2m,Relative_Humidity_%_2m,WindSpeed_m/s_3m,WindDirection_Degrees_3m,WindSpeedMax_m/s_3m,StationPressure_mbar,Rainfall_mm,NetRadation_W/m2,SnowDepth_cm,,,,,,,,
10/13/2015 14:00,6999,6999,7777,7777,7777,7777,7777,7777,7777,,,,,,,,
10/13/2015 15:00,1.877,53.48,7777,7777,7777,7777,7777,7777,7777,,,,,,,,
10/13/2015 16:00,1.05,58.68,7777,7777,7777,7777,7777,7777,7777,,,,,,,,
10/13/2015 17:00,0.067,65.19,7777,7777,7777,7777,7777,7777,7777,,,,,,,,
10/13/2015 18:00,-1.944,76.66,7777,7777,7777,7777,7777,7777,7777,,,,,,,,
10/13/2015 19:00,-3.687,76.75,7777,7777,7777,7777,7777,7777,7777,,,,,,,, 
10/13/2015 20:00,-4.959,79.17,7777,7777,7777,7777,7777,7777,7777,,,,,,,,
10/13/2015 21:00,-5.501,80.7,7777,7777,7777,7777,7777,7777,7777,,,,,,,,
10/13/2015 22:00,-5.334,81.5,7777,7777,7777,7777,7777,7777,7777,,,,,,,,
10/13/2015 23:00,-5.767,83.4,7777,7777,7777,7777,7777,7777,7777,,,,,,,,
10/14/2015 0:00,-5.822,84.1,7777,7777,7777,7777,7777,7777,7777,,,,,,,,
10/14/2015 1:00,-6.076,85.1,7777,7777,7777,7777,7777,7777,7777,,,,,,,,
10/14/2015 2:00,-6.186,85.5,7777,7777,7777,7777,7777,7777,7777,,,,,,,,
10/14/2015 3:00,-5.403,83.8,7777,7777,7777,7777,7777,7777,7777,,,,,,,,
10/14/2015 4:00,-4.852,84.4,7777,7777,7777,7777,7777,7777,7777,,,,,,,,
10/14/2015 5:00,-4.246,84.6,7777,7777,7777,7777,7777,7777,7777,,,,,,,,
10/14/2015 6:00,-3.863,85.2,7777,7777,7777,7777,7777,7777,7777,,,,,,,,
10/14/2015 7:00,-3.678,84.8,7777,7777,7777,7777,7777,7777,7777,,,,,,,,
10/14/2015 8:00,-3.536,85.8,7777,7777,7777,7777,7777,7777,7777,,,,,,,,
10/14/2015 9:00,-3.304,85.4,7777,7777,7777,7777,7777,7777,7777,,,,,,,,
