Date/Time,Air_Temperature_C_2m,Relative_Humidity_%_2m,WindSpeed_m/s_3m,WindDirection_Degrees_3m,WindSpeedMax_m/s_3m,StationPressure_mbar,Rainfall_mm,NetRadation_W/m2,SnowDepth_cm
10/30/2015 15:00,-7.23,79.33,0.137,70.39,33.63,7777,7777,7777,34.92
10/30/2015 16:00,-7.402,81.8,0.029,131,18.71,7777,7777,7777,31.51
10/30/2015 17:00,-8.08,85.7,0.087,179.9,6.171,7777,7777,7777,30.72
10/30/2015 18:00,-8.6,85.3,0.092,190.8,9.92,7777,7777,7777,31.41
10/30/2015 19:00,-9.16,84.8,0.111,208.4,19.83,7777,7777,7777,32.94
10/30/2015 20:00,-9.68,84.9,0.044,208.1,19.42,7777,7777,7777,32.12
10/30/2015 21:00,-8.99,87.3,0.03,204.3,10.75,7777,7777,7777,29.81
10/30/2015 22:00,-8.2,88,0.094,180.4,15.72,7777,7777,7777,30.25
10/30/2015 23:00,-8.42,87.4,0.069,188,18.89,7777,7777,7777,6999
10/31/2015 0:00,-8.72,87.3,0.025,301.1,14.05,7777,7777,7777,6999
10/31/2015 1:00,-9.67,87.2,0.044,202.8,32.8,7777,7777,7777,38.8
10/31/2015 2:00,-9.69,82,0.15,265.1,71.06,7777,7777,7777,30.29
10/31/2015 3:00,-9.27,80.6,0.521,341.3,24.4,7777,7777,7777,30.48
10/31/2015 4:00,-10.03,78.38,0.574,341.6,26.3,7777,7777,7777,6999
10/31/2015 5:00,-10.73,79.49,0.834,346.3,27.83,7777,7777,7777,31.39
10/31/2015 6:00,-13.22,82.7,0.215,14.19,35.54,7777,7777,7777,31.25
10/31/2015 7:00,-13.5,72.66,0.452,212.4,59.74,7777,7777,7777,31.73
10/31/2015 8:00,-12,81.7,0.427,56.28,77.2,7777,7777,7777,32.04
10/31/2015 9:00,-11.64,78.43,0.432,347.9,58.25,7777,7777,7777,32.52
10/31/2015 10:00,-12.34,72.86,0.218,270,42.97,7777,7777,7777,37.04
10/31/2015 11:00,-10.8,70.29,0.344,120,50.38,7777,7777,7777,30.98
10/31/2015 12:00,-9.29,71.64,1.237,237.1,24.06,7777,7777,7777,6999
10/31/2015 13:00,-8.39,69.07,1.157,240.5,19.83,7777,7777,7777,6999
10/31/2015 14:00,-8.6,73.88,1.171,248,15.07,7777,7777,7777,37.59
10/31/2015 15:00,-9.16,80.3,0.655,240.8,15.23,7777,7777,7777,40.3
10/31/2015 16:00,-10.45,83.6,0.344,227.3,23.2,7777,7777,7777,6999
10/31/2015 17:00,-11.14,83.3,0.23,233.6,24.71,7777,7777,7777,6999
10/31/2015 18:00,-12.7,82.8,0.11,27.77,8.43,7777,7777,7777,6999
10/31/2015 19:00,-16.21,79.88,0.091,35.43,12.96,7777,7777,7777,35.8
10/31/2015 20:00,-18.69,77.84,0.089,19.7,33.25,7777,7777,7777,29.67
10/31/2015 21:00,-19.97,76.08,0.057,43.13,22.41,7777,7777,7777,30.61
10/31/2015 22:00,-19.23,76.44,0.169,44.49,73.14,7777,7777,7777,31.57
10/31/2015 23:00,-18.95,79.04,0.135,118.2,70.5,7777,7777,7777,32.65
11/1/2015 0:00,-16.21,81.1,0.133,136.7,54.98,7777,7777,7777,33.29
11/1/2015 1:00,-14.79,80.6,0.02,80.3,32.63,7777,7777,7777,32.25
11/1/2015 2:00,-14.27,82.6,0.026,119.8,15.95,7777,7777,7777,32.31
11/1/2015 3:00,-13.7,82,0.159,82.6,38.54,7777,7777,7777,35.89
11/1/2015 4:00,-15.62,81.5,0.068,79.1,40.71,7777,7777,7777,32.15
