Date/Time,Soil Surface Temperature 0 cm bgs deg C,Soil Temperature CS616 10 cm bgs deg C,Soil Temperature CS616 30 cm bgs deg C,Soil Temperature CS616 50 cm bgs deg C,Soil Temperature 5 cm bgs deg C,Soil Temperature 10 cm bgs deg C,Soil Temperature 20 cm bgs deg C,Soil Temperature 30 cm bgs deg C,Soil Temperature 50 cm bgs deg C,Soil Temperature 70 cm bgs deg C,Soil Temperature 90 cm bgs deg C,Soil Temperature 110 cm bgs deg C,Soil Temperature 130 cm bgs deg C,Soil Moisture 10 cm bgs CS616 m3/m3,Soil Moisture 30 cm bgs CS616 m3/m3,Soil Moisture 50 cm bgs CS616 m3/m3
10/14/2015 15:00,7777,7777,7777,7777,6999,6999,6999,6999,6999,6999,6999,6999,6999,0.189,0.248,0.144
10/14/2015 16:00,7777,7777,7777,7777,1.319,1.614,1.793,2.232,2.92,3.081,3.32,3.572,3.701,0.189,0.248,0.144
10/14/2015 17:00,7777,7777,7777,7777,1.307,1.611,1.783,2.228,2.91,3.076,3.314,3.572,3.694,0.189,0.249,0.144
10/14/2015 18:00,7777,7777,7777,7777,1.301,1.607,1.779,2.222,2.91,3.073,3.312,3.566,3.695,0.189,0.249,0.144
10/14/2015 19:00,7777,7777,7777,7777,1.305,1.604,1.777,2.214,2.904,3.069,3.308,3.566,3.688,0.189,0.249,0.144
10/14/2015 20:00,7777,7777,7777,7777,1.302,1.601,1.776,2.213,2.901,3.065,3.309,3.563,3.693,0.189,0.249,0.144
10/14/2015 21:00,7777,7777,7777,7777,1.297,1.602,1.775,2.21,2.896,3.061,3.302,3.558,3.692,0.189,0.249,0.144
10/14/2015 22:00,7777,7777,7777,7777,1.297,1.597,1.775,2.207,2.895,3.062,3.301,3.561,3.682,0.189,0.248,0.144
10/14/2015 23:00,7777,7777,7777,7777,1.297,1.597,1.767,2.205,2.893,3.054,3.297,3.557,3.68,0.189,0.249,0.144
10/15/2015 0:00,7777,7777,7777,7777,1.298,1.596,1.762,2.194,2.884,3.049,3.294,3.55,3.677,0.189,0.249,0.144
10/15/2015 1:00,7777,7777,7777,7777,1.293,1.591,1.759,2.191,2.875,3.044,3.285,3.543,3.671,0.189,0.249,0.144
10/15/2015 2:00,7777,7777,7777,7777,1.297,1.591,1.756,2.192,2.878,3.043,3.285,3.541,3.671,0.189,0.249,0.144
10/15/2015 3:00,7777,7777,7777,7777,1.301,1.593,1.756,2.187,2.867,3.032,3.283,3.539,3.667,0.189,0.249,0.144
10/15/2015 4:00,7777,7777,7777,7777,1.293,1.587,1.752,2.184,2.864,3.033,3.279,3.529,3.665,0.189,0.249,0.144
10/15/2015 5:00,7777,7777,7777,7777,1.292,1.593,1.752,2.186,2.86,3.031,3.276,3.529,3.663,0.189,0.249,0.143
10/15/2015 6:00,7777,7777,7777,7777,1.292,1.588,1.753,2.181,2.861,3.028,3.272,3.532,3.66,0.189,0.249,0.144
10/15/2015 7:00,7777,7777,7777,7777,1.291,1.587,1.744,2.174,2.858,3.025,3.271,3.527,3.657,0.189,0.248,0.144
10/15/2015 8:00,7777,7777,7777,7777,1.288,1.583,1.742,2.17,2.852,3.017,3.267,3.519,3.657,0.189,0.248,0.144
10/15/2015 9:00,7777,7777,7777,7777,1.284,1.585,1.739,2.166,2.85,3.015,3.268,3.519,3.653,0.188,0.248,0.144
10/15/2015 10:00,7777,7777,7777,7777,1.277,1.578,1.741,2.167,2.845,3.012,3.264,3.516,3.652,0.188,0.248,0.144
10/15/2015 11:00,7777,7777,7777,7777,1.276,1.576,1.739,2.166,2.848,3.013,3.257,3.515,3.652,0.188,0.248,0.144
10/15/2015 12:00,7777,7777,7777,7777,1.27,1.572,1.734,2.164,2.837,3.008,3.256,3.51,3.643,0.188,0.248,0.143
10/15/2015 13:00,7777,7777,7777,7777,1.27,1.571,1.734,2.159,2.836,3.007,3.253,3.511,3.646,0.188,0.248,0.144
10/15/2015 14:00,7777,7777,7777,7777,1.265,1.571,1.734,2.159,2.831,3.007,3.251,3.507,3.638,0.188,0.248,0.143
10/15/2015 15:00,7777,7777,7777,7777,1.263,1.56,1.723,2.152,2.827,2.995,3.248,3.503,3.636,0.188,0.248,0.143
10/15/2015 16:00,7777,7777,7777,7777,1.261,1.558,1.719,2.146,2.827,2.991,3.246,3.497,3.632,0.188,0.248,0.143
10/15/2015 17:00,7777,7777,7777,7777,1.259,1.558,1.715,2.144,2.823,2.989,3.23,3.493,3.632,0.188,0.248,0.143
10/15/2015 18:00,7777,7777,7777,7777,1.265,1.561,1.721,2.149,2.824,2.988,3.242,3.494,3.631,0.188,0.248,0.144
10/15/2015 19:00,7777,7777,7777,7777,1.266,1.562,1.719,2.148,2.819,2.982,3.234,3.487,3.629,0.188,0.248,0.143
10/15/2015 20:00,7777,7777,7777,7777,1.261,1.556,1.709,2.133,2.808,2.977,3.229,3.482,3.622,0.188,0.248,0.143
10/15/2015 21:00,7777,7777,7777,7777,1.262,1.554,1.715,2.13,2.809,2.974,3.228,3.486,3.619,0.188,0.248,0.143
10/15/2015 22:00,7777,7777,7777,7777,1.268,1.556,1.715,2.138,2.813,2.972,3.226,3.486,3.621,0.188,0.248,0.144
10/15/2015 23:00,7777,7777,7777,7777,1.272,1.556,1.715,2.129,2.808,2.977,3.225,3.486,3.62,0.188,0.248,0.144
10/16/2015 0:00,7777,7777,7777,7777,1.269,1.554,1.709,2.132,2.802,2.966,3.219,3.48,3.613,0.188,0.248,0.144
10/16/2015 1:00,7777,7777,7777,7777,1.271,1.56,1.71,2.129,2.801,2.964,3.218,3.475,3.611,0.188,0.248,0.144
10/16/2015 2:00,7777,7777,7777,7777,1.266,1.554,1.703,2.121,2.798,2.959,3.213,3.472,3.606,0.188,0.248,0.144
10/16/2015 3:00,7777,7777,7777,7777,1.272,1.555,1.706,2.12,2.795,2.958,3.206,3.47,3.605,0.188,0.248,0.144
10/16/2015 4:00,7777,7777,7777,7777,1.274,1.553,1.711,2.122,2.791,2.956,3.212,3.467,3.607,0.188,0.248,0.144
10/16/2015 5:00,7777,7777,7777,7777,1.27,1.558,1.708,2.124,2.789,2.954,3.202,3.463,3.605,0.188,0.248,0.144
10/16/2015 6:00,7777,7777,7777,7777,1.272,1.558,1.702,2.122,2.783,2.954,3.202,3.465,3.599,0.188,0.248,0.144
10/16/2015 7:00,7777,7777,7777,7777,1.276,1.558,1.702,2.12,2.783,2.946,3.198,3.461,3.601,0.188,0.248,0.144
10/16/2015 8:00,7777,7777,7777,7777,1.274,1.556,1.7,2.116,2.783,2.952,3.198,3.46,3.597,0.188,0.248,0.144
10/16/2015 9:00,7777,7777,7777,7777,1.276,1.553,1.7,2.116,2.781,2.948,3.19,3.458,3.595,0.188,0.248,0.144
10/16/2015 10:00,7777,7777,7777,7777,1.28,1.554,1.706,2.114,2.773,2.934,3.188,3.456,3.599,0.188,0.248,0.144
10/16/2015 11:00,7777,7777,7777,7777,1.272,1.549,1.694,2.106,2.771,2.934,3.186,3.456,3.589,0.188,0.248,0.144
10/16/2015 12:00,7777,7777,7777,7777,1.271,1.546,1.697,2.109,2.768,2.931,3.183,3.444,3.584,0.188,0.248,0.144
10/16/2015 13:00,7777,7777,7777,7777,1.258,1.546,1.695,2.105,2.764,2.929,3.181,3.444,3.579,0.187,0.248,0.143
10/16/2015 14:00,7777,7777,7777,7777,1.26,1.547,1.695,2.104,2.765,2.93,3.176,3.439,3.58,0.187,0.248,0.143
10/16/2015 15:00,7777,7777,7777,7777,1.256,1.538,1.689,2.099,2.76,2.926,3.176,3.437,3.574,0.187,0.248,0.143
10/16/2015 16:00,7777,7777,7777,7777,1.263,1.547,1.689,2.102,2.755,2.921,3.169,3.438,3.571,0.187,0.248,0.144
10/16/2015 17:00,7777,7777,7777,7777,1.263,1.539,1.685,2.094,2.751,2.914,3.165,3.432,3.571,0.188,0.247,0.144
10/16/2015 18:00,7777,7777,7777,7777,1.262,1.542,1.681,2.093,2.75,2.912,3.166,3.429,3.566,0.188,0.248,0.144
10/16/2015 19:00,7777,7777,7777,7777,1.261,1.54,1.691,2.095,2.745,2.91,3.166,3.431,3.57,0.188,0.248,0.144
10/16/2015 20:00,7777,7777,7777,7777,1.258,1.534,1.68,2.085,2.744,2.913,3.157,3.422,3.563,0.188,0.248,0.143
10/16/2015 21:00,7777,7777,7777,7777,1.262,1.535,1.682,2.088,2.739,2.907,3.157,3.42,3.557,0.187,0.248,0.143
10/16/2015 22:00,7777,7777,7777,7777,1.266,1.54,1.686,2.096,2.739,2.902,3.159,3.418,3.559,0.188,0.248,0.143
10/16/2015 23:00,7777,7777,7777,7777,1.264,1.546,1.682,2.09,2.741,2.906,3.156,3.419,3.558,0.188,0.248,0.143
10/17/2015 0:00,7777,7777,7777,7777,1.272,1.543,1.684,2.086,2.741,2.894,3.148,3.417,3.552,0.188,0.248,0.143
10/17/2015 1:00,7777,7777,7777,7777,1.272,1.542,1.68,2.086,2.733,2.896,3.144,3.413,3.556,0.187,0.248,0.143
10/17/2015 2:00,7777,7777,7777,7777,1.275,1.543,1.683,2.087,2.734,2.897,3.147,3.414,3.551,0.187,0.248,0.143
10/17/2015 3:00,7777,7777,7777,7777,1.274,1.545,1.677,2.081,2.728,2.894,3.146,3.401,3.546,0.187,0.248,0.143
10/17/2015 4:00,7777,7777,7777,7777,1.272,1.543,1.675,2.083,2.726,2.891,3.141,3.406,3.543,0.187,0.248,0.143
10/17/2015 5:00,7777,7777,7777,7777,1.275,1.54,1.679,2.077,2.721,2.895,3.137,3.398,3.537,0.187,0.248,0.143
