"If you use any of the data presented in this website, we ask you to please reference the author in the following suggested format: ",,,,,
"Liljedahl, A. (year of retrieval). Climate data from the Goldstream Creek Watershed study of Methane Release from Thermokarst Lakes. University of Alaska Fairbanks, Water and Environmental Research Center. ",,,,,
"URL: http://ine.uaf.edu/werc/werc-projects/goldstream/ Fairbanks, Alaska, variously paged. [month and day of retrieval].",,,,,
"see readme-20200623.txt file for metadata, during periods of low flow and very high flow, river discharge may be inaccurate due to errors in rating curve.  Beaver activity resulted in high water levels at times, discharge may be unavailable or estimated.",,,,,
,,,,,
GSS2 Goldstream Creek at Ballaine Road  2015-2018 Last Updated EKY  15Jan2019,,,,,
Hydrological Data,,,,,
Lat:64.91137,,,,,
Long:-147.832,,,,,
Elev:186 m,,,,,
,,,,,
Col.  Data Type  Units,,,,,
1. Date Time (Alaska Standard Time),,,,,
2. Water Level Elevation (m above arbitrary datum),,,,,
3. Water Level Flag,,,,,
4. Discharge (m3/s),,,,,
5. Discharge Flag,,,,,
6. Pressure Transducer Water Temperature (deg C),,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"Flags 6999-bad/missing, 7777-not collected, Ice-ice affected",,,,,
,,,,,
Date/Time,Water_Level_Elevation_m,Water_Level_Flag,Discharge_cms,Discharge_Flag,Water_Temp_C
5/3/2016 14:15,98.61677833,,7777,,7777
5/3/2016 14:30,98.61444833,,7777,,7777
5/3/2016 14:45,98.61152833,,7777,,7777
5/3/2016 15:00,98.61619833,,7777,,7777
5/3/2016 15:15,98.60977833,,7777,,7777
5/3/2016 15:30,98.60977833,,7777,,7777
5/3/2016 15:45,98.60277833,,7777,,7777
5/3/2016 16:00,98.61327833,,7777,,7777
5/3/2016 16:15,98.61352833,,7777,,7777
5/3/2016 16:30,98.60977833,,7777,,7777
5/3/2016 16:45,98.61152833,,7777,,7777
5/3/2016 17:00,98.61152833,,7777,,7777
5/3/2016 17:15,98.61502833,,7777,,7777
5/3/2016 17:30,98.61502833,,7777,,7777
5/3/2016 17:45,98.61502833,,7777,,7777
5/3/2016 18:00,98.61327833,,7777,,7777
5/3/2016 18:15,98.61035833,,7777,,7777
5/3/2016 18:30,98.61210833,,7777,,7777
5/3/2016 18:45,98.61035833,,7777,,7777
5/3/2016 19:00,98.60685833,,7777,,7777
5/3/2016 19:15,98.61035833,,7777,,7777
5/3/2016 19:30,98.60510833,,7777,,7777
5/3/2016 19:45,98.60685833,,7777,,7777
5/3/2016 20:00,98.60510833,,7777,,7777
5/3/2016 20:15,98.60685833,,7777,,7777
5/3/2016 20:30,98.60360833,,7777,,7777
5/3/2016 20:45,98.60452833,,7777,,7777
5/3/2016 21:00,98.60127833,,7777,,7777
5/3/2016 21:15,98.60185833,,7777,,7777
5/3/2016 21:30,98.60185833,,7777,,7777
5/3/2016 21:45,98.60185833,,7777,,7777
5/3/2016 22:00,98.59660833,,7777,,7777
5/3/2016 22:15,98.59835833,,7777,,7777
5/3/2016 22:30,98.59602833,,7777,,7777
5/3/2016 22:45,98.59835833,,7777,,7777
5/3/2016 23:00,98.59660833,,7777,,7777
5/3/2016 23:15,98.59660833,,7777,,7777
5/3/2016 23:30,98.59344833,,7777,,7777
5/3/2016 23:45,98.59660833,,7777,,7777
5/4/2016 0:00,98.59194833,,7777,,7777
5/4/2016 0:15,98.59485833,,7777,,7777
5/4/2016 0:30,98.59310833,,7777,,7777
5/4/2016 0:45,98.59310833,,7777,,7777
5/4/2016 1:00,98.59310833,,7777,,7777
5/4/2016 1:15,98.59310833,,7777,,7777
5/4/2016 1:30,98.58960833,,7777,,7777
5/4/2016 1:45,98.58960833,,7777,,7777
5/4/2016 2:00,98.59135833,,7777,,7777
5/4/2016 2:15,98.58785833,,7777,,7777
5/4/2016 2:30,98.58494833,,7777,,7777
5/4/2016 2:45,98.58960833,,7777,,7777
5/4/2016 3:00,98.58785833,,7777,,7777
5/4/2016 3:15,98.58902833,,7777,,7777
5/4/2016 3:30,98.58610833,,7777,,7777
5/4/2016 3:45,98.58435833,,7777,,7777
5/4/2016 4:00,98.58610833,,7777,,7777
5/4/2016 4:15,98.58727833,,7777,,7777
5/4/2016 4:30,98.58260833,,7777,,7777
5/4/2016 4:45,98.58435833,,7777,,7777
5/4/2016 5:00,98.58435833,,7777,,7777
5/4/2016 5:15,98.58260833,,7777,,7777
5/4/2016 5:30,98.58260833,,7777,,7777
5/4/2016 5:45,98.58377833,,7777,,7777
5/4/2016 6:00,98.58085833,,7777,,7777
5/4/2016 6:15,98.57735833,,7777,,7777
5/4/2016 6:30,98.57735833,,7777,,7777
5/4/2016 6:45,98.57735833,,7777,,7777
5/4/2016 7:00,98.57760833,,7777,,7777
5/4/2016 7:15,98.57235833,,7777,,7777
5/4/2016 7:30,98.57235833,,7777,,7777
5/4/2016 7:45,98.57035833,,7777,,7777
5/4/2016 8:00,98.57235833,,7777,,7777
5/4/2016 8:15,98.57235833,,7777,,7777
5/4/2016 8:30,98.57210833,,7777,,7777
5/4/2016 8:45,98.57560833,,7777,,7777
5/4/2016 9:00,98.57594833,,7777,,7777
5/4/2016 9:15,98.57735833,,7777,,7777
5/4/2016 9:30,98.57735833,,7777,,7777
5/4/2016 9:45,98.57560833,,7777,,7777
5/4/2016 10:00,98.57385833,,7777,,7777
5/4/2016 10:15,98.57735833,,7777,,7777
5/4/2016 10:30,98.57710833,,7777,,7777
5/4/2016 10:45,98.57419833,,7777,,7777
5/4/2016 11:00,98.57244833,,7777,,7777
5/4/2016 11:15,98.57710833,,7777,,7777
5/4/2016 11:30,98.57710833,,7777,,7777
5/4/2016 11:45,98.57594833,,7777,,7777
5/4/2016 12:00,98.57769833,,7777,,7777
5/4/2016 12:15,98.57419833,,7777,,7777
5/4/2016 12:30,98.57594833,,7777,,7777
5/4/2016 12:45,98.58210833,,7777,,7777
5/4/2016 13:00,98.57652833,,7777,,7777
5/4/2016 13:15,98.57769833,,7777,,7777
5/4/2016 13:30,98.57944833,,7777,,7777
5/4/2016 13:45,98.57419833,,7777,,7777
5/4/2016 14:00,98.57594833,,7777,,7777
5/4/2016 14:15,98.57419833,,7777,,7777
5/4/2016 14:30,98.57419833,,7777,,7777
5/4/2016 14:45,98.57127833,,7777,,7777
5/4/2016 15:00,98.57244833,,7777,,7777
5/4/2016 15:14,98.57069833,,7777,,7777
5/4/2016 15:29,98.57069833,,7777,,7777
5/4/2016 15:44,98.57069833,,7777,,7777
5/4/2016 15:59,98.57477833,,7777,,7777
5/4/2016 16:14,98.57277833,,7777,,7777
5/4/2016 16:29,98.57419833,,7777,,7777
5/4/2016 16:44,98.56952833,,7777,,7777
5/4/2016 16:59,98.56602833,,7777,,7777
5/4/2016 17:14,98.56602833,,7777,,7777
5/4/2016 17:29,98.57302833,,7777,,7777
5/4/2016 17:44,98.56777833,,7777,,7777
5/4/2016 17:59,98.56777833,,7777,,7777
5/4/2016 18:14,98.56485833,,7777,,7777
5/4/2016 18:29,98.56602833,,7777,,7777
5/4/2016 18:44,98.56452833,,7777,,7777
5/4/2016 18:59,98.55810833,,7777,,7777
5/4/2016 19:14,98.56102833,,7777,,7777
5/4/2016 19:29,98.56135833,,7777,,7777
5/4/2016 19:44,98.55985833,,7777,,7777
5/4/2016 19:59,98.55985833,,7777,,7777
5/4/2016 20:14,98.55927833,,7777,,7777
5/4/2016 20:29,98.55635833,,7777,,7777
5/4/2016 20:44,98.55635833,,7777,,7777
5/4/2016 20:59,98.55435833,,7777,,7777
5/4/2016 21:14,98.55402833,,7777,,7777
5/4/2016 21:29,98.55460833,,7777,,7777
5/4/2016 21:44,98.55435833,,7777,,7777
5/4/2016 21:59,98.55110833,,7777,,7777
5/4/2016 22:14,98.55052833,,7777,,7777
5/4/2016 22:29,98.55110833,,7777,,7777
5/4/2016 22:44,98.55110833,,7777,,7777
5/4/2016 22:59,98.54760833,,7777,,7777
5/4/2016 23:14,98.54935833,,7777,,7777
5/4/2016 23:29,98.54760833,,7777,,7777
5/4/2016 23:44,98.54760833,,7777,,7777
5/4/2016 23:59,98.54585833,,7777,,7777
5/5/2016 0:14,98.54585833,,7777,,7777
5/5/2016 0:29,98.54410833,,7777,,7777
5/5/2016 0:44,98.54352833,,7777,,7777
5/5/2016 0:59,98.54235833,,7777,,7777
5/5/2016 1:14,98.54202833,,7777,,7777
5/5/2016 1:29,98.54027833,,7777,,7777
5/5/2016 1:44,98.54202833,,7777,,7777
5/5/2016 1:59,98.54085833,,7777,,7777
5/5/2016 2:14,98.54027833,,7777,,7777
5/5/2016 2:29,98.53735833,,7777,,7777
5/5/2016 2:44,98.54027833,,7777,,7777
5/5/2016 2:59,98.53735833,,7777,,7777
5/5/2016 3:14,98.54085833,,7777,,7777
5/5/2016 3:29,98.53910833,,7777,,7777
5/5/2016 3:44,98.53385833,,7777,,7777
5/5/2016 3:59,98.53735833,,7777,,7777
5/5/2016 4:14,98.53735833,,7777,,7777
5/5/2016 4:29,98.53502833,,7777,,7777
5/5/2016 4:44,98.53677833,,7777,,7777
5/5/2016 4:59,98.53560833,,7777,,7777
5/5/2016 5:14,98.53385833,,7777,,7777
5/5/2016 5:29,98.53560833,,7777,,7777
5/5/2016 5:44,98.53385833,,7777,,7777
5/5/2016 5:59,98.53210833,,7777,,7777
5/5/2016 6:14,98.52310833,,7777,,7777
5/5/2016 6:29,98.52485833,,7777,,7777
5/5/2016 6:44,98.52510833,,7777,,7777
5/5/2016 6:59,98.52602833,,7777,,7777
5/5/2016 7:14,98.52660833,,7777,,7777
5/5/2016 7:29,98.53035833,,7777,,7777
5/5/2016 7:44,98.52777833,,7777,,7777
5/5/2016 7:59,98.53010833,,7777,,7777
5/5/2016 8:14,98.53010833,,7777,,7777
5/5/2016 8:29,98.52777833,,7777,,7777
5/5/2016 8:44,98.53452833,,7777,,7777
5/5/2016 8:59,98.53335833,,7777,,7777
5/5/2016 9:14,98.53569833,,7777,,7777
5/5/2016 9:29,98.53744833,,7777,,7777
5/5/2016 9:44,98.54444833,,7777,,7777
5/5/2016 9:59,98.53744833,,7777,,7777
5/5/2016 10:14,98.53860833,,7777,,7777
5/5/2016 10:29,98.53919833,,7777,,7777
5/5/2016 10:44,98.53860833,,7777,,7777
5/5/2016 10:59,98.53569833,,7777,,7777
5/5/2016 11:14,98.53394833,,7777,,7777
5/5/2016 11:29,98.53394833,,7777,,7777
5/5/2016 11:44,98.53919833,,7777,,7777
5/5/2016 11:59,98.53569833,,7777,,7777
5/5/2016 12:14,98.53452833,,7777,,7777
5/5/2016 12:29,98.53744833,,1.45,Measured,7777
5/5/2016 12:44,98.53427833,,7777,,7777
5/5/2016 12:59,98.53627833,,7777,,7777
5/5/2016 13:14,98.53427833,,7777,,7777
5/5/2016 13:29,98.53627833,,7777,,7777
5/5/2016 13:44,98.53335833,,7777,,7777
5/5/2016 13:59,98.53685833,,7777,,7777
5/5/2016 14:14,98.53485833,,7777,,7777
5/5/2016 14:29,98.53510833,,7777,,7777
5/5/2016 14:44,98.53160833,,7777,,7777
5/5/2016 14:59,98.53369833,,7777,,7777
5/5/2016 15:14,98.53102833,,7777,,7777
5/5/2016 15:29,98.53394833,,7777,,7777
5/5/2016 15:44,98.53394833,,7777,,7777
5/5/2016 15:59,98.53277833,,7777,,7777
5/5/2016 16:14,98.53102833,,7777,,7777
5/5/2016 16:29,98.53277833,,7777,,7777
5/5/2016 16:44,98.53277833,,7777,,7777
5/5/2016 16:59,98.53102833,,7777,,7777
5/5/2016 17:14,98.52902833,,7777,,7777
5/5/2016 17:29,98.52810833,,7777,,7777
5/5/2016 17:44,98.52785833,,7777,,7777
5/5/2016 17:59,98.52810833,,7777,,7777
5/5/2016 18:14,98.53160833,,7777,,7777
5/5/2016 18:29,98.52519833,,7777,,7777
5/5/2016 18:44,98.52985833,,7777,,7777
5/5/2016 18:59,98.52694833,,7777,,7777
5/5/2016 19:14,98.52344833,,7777,,7777
5/5/2016 19:29,98.52227833,,7777,,7777
5/5/2016 19:44,98.52227833,,7777,,7777
5/5/2016 19:59,98.51877833,,7777,,7777
5/5/2016 20:14,98.52227833,,7777,,7777
5/5/2016 20:29,98.52402833,,7777,,7777
5/5/2016 20:44,98.51877833,,7777,,7777
5/5/2016 20:59,98.52227833,,7777,,7777
5/5/2016 21:14,98.51935833,,7777,,7777
5/5/2016 21:29,98.51760833,,7777,,7777
5/5/2016 21:44,98.51760833,,7777,,7777
5/5/2016 21:59,98.51819833,,7777,,7777
5/5/2016 22:14,98.51469833,,7777,,7777
5/5/2016 22:29,98.51469833,,7777,,7777
5/5/2016 22:44,98.51410833,,7777,,7777
5/5/2016 22:59,98.51294833,,7777,,7777
5/5/2016 23:14,98.51177833,,7777,,7777
5/5/2016 23:29,98.51177833,,7777,,7777
5/5/2016 23:44,98.51327833,,7777,,7777
5/5/2016 23:59,98.50944833,,7777,,7777
5/6/2016 0:14,98.50827833,,7777,,7777
5/6/2016 0:29,98.50627833,,7777,,7777
5/6/2016 0:44,98.50977833,,7777,,7777
5/6/2016 0:59,98.50977833,,7777,,7777
5/6/2016 1:14,98.50685833,,7777,,7777
5/6/2016 1:29,98.50685833,,7777,,7777
5/6/2016 1:44,98.50510833,,7777,,7777
5/6/2016 1:59,98.49985833,,7777,,7777
5/6/2016 2:14,98.50452833,,7777,,7777
5/6/2016 2:29,98.50335833,,7777,,7777
5/6/2016 2:44,98.50335833,,7777,,7777
5/6/2016 2:59,98.50510833,,7777,,7777
5/6/2016 3:14,98.50335833,,7777,,7777
5/6/2016 3:29,98.50335833,,7777,,7777
5/6/2016 3:44,98.50219833,,7777,,7777
5/6/2016 3:59,98.50102833,,7777,,7777
5/6/2016 4:14,98.50219833,,7777,,7777
5/6/2016 4:29,98.49927833,,7777,,7777
5/6/2016 4:44,98.50102833,,7777,,7777
5/6/2016 4:59,98.50044833,,7777,,7777
5/6/2016 5:14,98.49985833,,7777,,7777
5/6/2016 5:29,98.50277833,,7777,,7777
5/6/2016 5:44,98.49927833,,7777,,7777
5/6/2016 5:59,98.49927833,,7777,,7777
5/6/2016 6:14,98.50077833,,7777,,7777
5/6/2016 6:29,98.49810833,,7777,,7777
5/6/2016 6:44,98.49810833,,7777,,7777
5/6/2016 6:59,98.49460833,,7777,,7777
5/6/2016 7:14,98.49460833,,7777,,7777
5/6/2016 7:29,98.49785833,,7777,,7777
5/6/2016 7:44,98.49785833,,7777,,7777
5/6/2016 7:59,98.49785833,,7777,,7777
5/6/2016 8:14,98.49285833,,7777,,7777
5/6/2016 8:29,98.49635833,,7777,,7777
5/6/2016 8:44,98.49669833,,7777,,7777
5/6/2016 8:59,98.49344833,,7777,,7777
5/6/2016 9:14,98.49844833,,7777,,7777
5/6/2016 9:29,98.49869833,,7777,,7777
5/6/2016 9:44,98.50135833,,7777,,7777
5/6/2016 9:59,98.50369833,,7777,,7777
5/6/2016 10:14,98.50194833,,7777,,7777
5/6/2016 10:29,98.50394833,,7777,,7777
5/6/2016 10:44,98.50894833,,7777,,7777
5/6/2016 10:59,98.50777833,,7777,,7777
5/6/2016 11:14,98.50894833,,7777,,7777
5/6/2016 11:29,98.50719833,,7777,,7777
5/6/2016 11:44,98.50544833,,7777,,7777
5/6/2016 11:59,98.50894833,,7777,,7777
5/6/2016 12:14,98.50194833,,7777,,7777
5/6/2016 12:29,98.50277833,,7777,,7777
5/6/2016 12:44,98.50602833,,7777,,7777
5/6/2016 12:59,98.50252833,,7777,,7777
5/6/2016 13:14,98.50427833,,7777,,7777
5/6/2016 13:29,98.50719833,,7777,,7777
5/6/2016 13:44,98.50427833,,7777,,7777
5/6/2016 13:59,98.50544833,,7777,,7777
5/6/2016 14:14,98.50777833,,7777,,7777
5/6/2016 14:29,98.50894833,,7777,,7777
5/6/2016 14:44,98.50019833,,7777,,7777
5/6/2016 14:59,98.50777833,,7777,,7777
