TOA5,IMNAVAIT_GRADIENT,CR1000,11659,CR1000.Std.14,CPU:Imnaviat_Gradient.CR1,41476,Table1,,,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,LC_(1),LC_(2),LC_(3),LC_(4),LC_(5),PTemp,SBTemp,TmV,TargTemp,WS_low,WS_high,WindDir_low,WindDir_high,WS_low_WVc(1),WS_low_WVc(2),WS_low_WVc(3),WS_high_WVc(1),WS_high_WVc(2),WS_high_WVc(3),AirTC_low,AirTC_high,RH_low,RH_high,Snow_Depth,T_107
TS,RN,,,,,,,,,Deg C,m/s,m/s,degrees,degrees,m/s,m/s,m/s,m/s,m/s,m/s,Deg C,Deg C,%,%,meters,Deg. C
,,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,WVc,WVc,WVc,WVc,WVc,WVc,Smp,Smp,Smp,Smp,Smp,Smp
9/4/2008 18:15,0,0.032,0.043,0.005,0.035,0.049,5.14,4.162,0.061,5.148,1.109,1.599,3.762,8.25,1.26,349.4,5.208,1.831,2.23,8.28,4.116,3.471,91.5,92.2,0.012,5.793
9/4/2008 18:30,1,0.032,0.043,0.005,0.035,0.049,4.771,3.904,0.058,4.845,1.544,1.805,339.6,222.3,1.35,347.9,9.62,1.906,1.276,32.79,3.916,3.271,92.6,93,0.012,5.396
9/4/2008 18:45,2,0.032,0.043,0.005,0.035,0.049,4.451,3.59,0.053,4.441,1.625,1.976,344.5,0.603,1.602,346.1,7.634,2.089,359.2,10.09,3.647,3.002,94.1,94.6,0.011,5.001
9/4/2008 19:00,3,0.032,0.043,0.005,0.035,0.049,4.15,3.339,0.054,4.211,1.604,1.927,338.5,342.2,1.501,345.3,7.587,1.881,355.4,9.4,3.308,2.765,95.6,95.8,0.012,4.696
9/4/2008 19:15,4,0.032,0.044,0.005,0.035,0.049,3.892,3.165,0.045,3.891,1.07,1.217,342.2,0.048,1.185,345.1,6.009,1.506,355.3,9.48,3.11,2.703,96,96.2,0.013,4.362
9/4/2008 19:30,5,0.032,0.044,0.005,0.035,0.049,3.635,2.91,0.04,3.55,1.362,1.579,340.1,350.6,1.107,341.2,10.83,1.358,352,13.38,2.942,2.398,97.4,97.4,0.013,4.009
9/4/2008 19:45,6,0.032,0.044,0.005,0.035,0.049,3.4,2.78,0.037,3.368,0.933,1.06,339.2,0.579,0.857,342.6,5.235,1.027,352.9,7.741,2.806,2.331,98.2,98.2,0.013,3.779
9/4/2008 20:00,7,0.032,0.044,0.005,0.035,0.049,3.165,2.736,0.03,3.2,0.242,0.756,3.28,8.78,0.531,351.9,14.51,0.783,5.866,16.17,2.738,2.365,98.4,98.4,0.012,3.52
9/4/2008 20:15,8,0.032,0.044,0.004,0.035,0.049,2.993,2.761,0.02,3.052,0.062,0.307,0.048,5.862,0.282,354.8,10.27,0.644,11.68,12.56,2.844,2.368,98.4,98.2,0.013,3.337
9/4/2008 20:30,9,0.032,0.044,0.004,0.035,0.049,2.865,2.654,0.011,2.791,0,0,333.5,354.5,0.25,337.8,7.786,0.28,347.6,11.1,2.676,2.303,99,98.7,0.013,3.154
9/4/2008 20:45,10,0.032,0.044,0.004,0.035,0.049,2.715,2.329,0,2.265,0.73,0.915,339.6,353.7,0.528,335.1,2.403,0.633,354,4.828,2.372,1.93,99.5,99.6,0.012,2.626
9/4/2008 21:00,11,0.032,0.044,0.004,0.035,0.049,2.503,2.111,-0.001,2.026,0,0.013,340.6,354.4,0.396,340.7,0.11,0.506,356,4.393,2.133,1.691,100,100,0.013,2.31
9/4/2008 21:15,12,0.032,0.044,0.005,0.035,0.049,2.288,1.916,-0.008,1.718,0.049,0.074,254.6,255.7,0.044,270.7,19.86,0.096,256.9,26.02,1.896,1.59,100,100,0.014,2.05
9/4/2008 21:30,13,0.032,0.045,0.005,0.035,0.049,2.076,1.637,0.001,1.603,0.363,0.528,150,169.5,0.108,165.4,37.7,0.188,173.1,34.12,1.661,1.389,100,100,0.016,1.792
9/4/2008 21:45,14,0.032,0.045,0.005,0.035,0.049,1.884,1.558,0.012,1.711,0.559,0.728,163.7,167.9,0.447,163.6,10.79,0.543,172.9,11.28,1.63,1.29,100,100,0.016,1.784
9/4/2008 22:00,15,0.032,0.045,0.005,0.034,0.049,1.778,1.532,0.012,1.685,0.341,0.519,119.1,128.1,0.334,137.7,17.33,0.493,142.9,17.38,1.665,1.325,100,100,0.016,1.737
9/4/2008 22:15,16,0.032,0.045,0.005,0.034,0.049,1.712,1.727,0.011,1.867,0.278,0.474,131.8,143.8,0.182,141.4,9.36,0.44,158,12.19,1.801,1.563,100,100,0.016,1.863
9/4/2008 22:30,17,0.032,0.045,0.005,0.035,0.049,1.755,2.14,-0.004,2,0.394,0.578,152.8,164.3,0.565,140.3,9.27,0.785,150.4,9.05,2.175,1.971,100,100,0.017,2.018
9/4/2008 22:45,18,0.032,0.045,0.004,0.034,0.049,1.861,2.33,-0.011,2.062,0.005,0.297,152.6,164.2,0.06,152.7,0.092,0.224,164.3,0.066,2.379,2.141,100,100,0.017,2.105
9/4/2008 23:00,19,0.032,0.045,0.004,0.034,0.049,1.97,2.509,-0.02,2.096,0,0,153,166.2,0.006,152.8,0.035,0.171,164.4,0.091,2.651,2.447,100,100,0.016,2.19
9/4/2008 23:15,20,0.032,0.045,0.004,0.034,0.049,2.096,2.574,-0.025,2.064,0.668,1.011,348.2,0.603,0.072,9.8,32.94,0.211,241,63.44,2.684,2.412,100,98,0.016,2.19
9/4/2008 23:30,21,0.032,0.045,0.004,0.034,0.049,2.162,2.18,-0.015,1.853,0.173,0.242,332.3,351,0.624,341.3,7.181,0.802,354.4,6.578,2.137,1.797,99.3,98.9,0.016,2.016
9/4/2008 23:45,22,0.032,0.045,0.004,0.034,0.049,2.139,2.099,-0.013,1.803,0,0,332.2,351.1,0.083,332.2,0.026,0.105,351,0.033,2.172,1.866,99.8,99.2,0.016,1.976
9/5/2008 0:00,23,0.032,0.045,0.004,0.034,0.049,2.096,2.051,-0.012,1.767,0,0,332.2,351.1,0.002,332.2,0,0.005,351.1,0,2.139,1.833,99.6,98.6,0.016,1.946
