TOA5,IMNAVAIT_GRADIENT,CR1000,11659,CR1000.Std.14,CPU:Imnaviat_Gradient_09_09_2011.CR1,60574,Table1,,,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,LC_(1),LC_(2),LC_(3),LC_(4),LC_(5),PTemp,SBTemp,TmV,TargTemp,WS_low,WS_high,WindDir_low,WindDir_high,WS_low_WVc(1),WS_low_WVc(2),WS_low_WVc(3),WS_high_WVc(1),WS_high_WVc(2),WS_high_WVc(3),AirTC_low,AirTC_high,RH_low,RH_high,Snow_Depth,T_107
TS,RN,,,,,,,,,Deg C,m/s,m/s,degrees,degrees,m/s,m/s,m/s,m/s,m/s,m/s,Deg C,Deg C,%,%,meters,Deg. C
,,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,WVc,WVc,WVc,WVc,WVc,WVc,Smp,Smp,Smp,Smp,Smp,Smp
1/1/2012 0:00,10893,0.19311,0.1381386,0.06930594,0.2088645,0.1118361,-25.42,-25.92,-0.011,-25.54,0.034,0.015,344.6,39.79,0.19,344.5,0.037,0.155,39.79,0,-27.18,-26.36,79.9,81.4,0.293,-4.913
1/1/2012 0:15,10894,0.1931102,0.1382063,0.069306,0.2089999,0.1117686,-25.93,-26.77,-0.027,-26.69,0.245,0.323,344.6,39.77,0.199,344.6,0.014,0.237,39.79,0.014,-29.35,-27.34,76.13,78.86,0.289,-4.914
1/1/2012 0:30,10895,0.1931776,0.1382062,0.06937355,0.2089996,0.1117685,-26.62,-26.13,0.015,-25.18,0.268,0.219,344.5,39.79,0.24,344.6,0.014,0.186,39.79,0.028,-29.23,-26.5,77.92,82,0.291,-4.914
1/1/2012 0:45,10896,0.193178,0.1382741,0.0693737,0.2091353,0.1118364,-27.15,-25.96,0.005,-25.24,0.154,0.025,344.6,39.8,0.197,344.5,0.02,0.137,39.8,0.028,-29.45,-26.1,77.55,81.8,0.289,-4.924
1/1/2012 1:00,10897,0.19312,0.1382809,0.06937712,0.2091457,0.1117743,-27.69,-26.09,0.02,-25.05,0.258,0.189,344.6,39.9,0.184,344.6,0.028,0.1,39.82,0.043,-30.51,-26.72,76.29,81.4,0.289,-4.921
1/1/2012 1:15,10898,0.1931325,0.1382899,0.06931401,0.2092269,0.1117139,-28.35,-27.79,0.032,-26.39,0.305,0.214,344.6,40,0.271,344.6,0,0.148,40.02,0.105,-30.68,-28.67,75.78,78.75,0.291,-4.918
1/1/2012 1:30,10899,0.1930728,0.1382956,0.06931686,0.2091002,0.1116509,-29.02,-28.66,-0.007,-28.06,0.307,0.167,344.6,40.11,0.316,344.6,0,0.175,40.08,0.048,-30.68,-29.28,76.58,78.46,0.293,-4.929
1/1/2012 1:45,10900,0.1931346,0.1381562,0.0693824,0.2090939,0.1117151,-29.45,-29.11,0.015,-28.01,0.201,0.083,344.6,39.92,0.286,344.6,0.028,0.186,39.98,0.087,-30.71,-29.65,75.87,78.23,0.292,-4.929
1/1/2012 2:00,10901,0.1930055,0.1382282,0.06931699,0.2089654,0.1116511,-29.72,-27.95,0.026,-26.67,0.232,0.149,344.6,39.92,0.397,344.6,0.04,0.24,40.04,0.063,-30.36,-28.27,76.54,80.9,0.293,-4.929
1/1/2012 2:15,10902,0.1929421,0.1381636,0.0693185,0.2089699,0.1117211,-29.8,-28.05,0.002,-27.28,0.42,0.224,344.6,40.11,0.357,344.6,0.042,0.215,40.07,0.095,-30.03,-28.56,77.41,79.53,0.293,-4.928
1/1/2012 2:30,10903,0.1929419,0.1380958,0.06925079,0.2089697,0.1116534,-29.8,-27.05,0.03,-25.73,0.222,0.176,344.6,40.02,0.312,344.6,0.034,0.199,40.07,0.05,-30.39,-27.69,75.32,81.1,0.29,-4.928
1/1/2012 2:45,10904,0.1928779,0.138166,0.06911682,0.2088383,0.1117231,-30.04,-26.24,0.002,-25.57,0.276,0.172,344.7,40.02,0.251,344.7,0.05,0.146,40,0.02,-32.41,-26.83,73.99,80.5,0.286,-4.927
1/1/2012 3:00,10905,0.1928159,0.1380348,0.06918649,0.2087768,0.1116587,-30.56,-28.12,-0.04,-28.26,0.199,0.051,344.7,40.08,0.265,344.7,0.046,0.194,40.05,0.071,-32.58,-29.29,74.78,76.77,0.29,-4.936
1/1/2012 3:15,10906,0.1926921,0.138043,0.06919058,0.2086539,0.1116654,-30.85,-28.58,0.001,-27.8,0.341,0.209,344.7,40.18,0.284,344.6,0.02,0.191,40.07,0.094,-31.28,-29.19,76.02,78.75,0.291,-4.934
1/1/2012 3:30,10907,0.192651,0.1379944,0.06913248,0.2085474,0.1116808,-30.85,-28.71,0.015,-27.63,0.381,0.183,344.9,40.32,0.366,344.8,0.117,0.206,40.22,0.042,-30.9,-29.29,76.6,78.82,0.292,-4.93
1/1/2012 3:45,10908,0.1926043,0.1380771,0.06907236,0.2085025,0.1116929,-30.76,-28.16,0,-27.43,0.385,0.382,344.8,40.01,0.363,344.8,0.056,0.253,40.14,0.074,-30.59,-28.54,77.32,79.27,0.292,-4.928
1/1/2012 4:00,10909,0.1925509,0.137952,0.06900983,0.2083826,0.1117689,-30.72,-29.16,0.047,-27.38,0.418,0.247,344.8,40.08,0.279,344.8,0.046,0.313,39.98,0.074,-31.45,-30.04,76.53,78.24,0.295,-4.937
1/1/2012 4:15,10910,0.1924783,0.1379484,0.06900803,0.2083095,0.1116983,-30.64,-28.16,0,-27.44,0.766,0.188,93.8,40.22,0.59,33.18,57.66,0.149,40.17,0.116,-29.94,-28.54,76.53,79.3,0.291,-4.937
1/1/2012 4:30,10911,0.1925435,0.1379467,0.0689395,0.2082392,0.1116969,-30.4,-28.73,-0.032,-28.68,0.746,0.044,94.6,40.22,0.889,93.1,2.648,0.149,40.28,0.048,-30.25,-29.02,75.54,77.83,0.289,-4.938
1/1/2012 4:45,10912,0.1923928,0.1379357,0.068934,0.2080873,0.1116203,-30.4,-29.8,0.025,-28.45,0.712,0.033,112.9,40.13,0.927,94.9,5.794,0.096,40.28,0.088,-30.9,-30.25,76.02,77.08,0.295,-4.95
