Date,Time UTC-08:00,ST (°C) at 2cm,ST (°C) at 5cm,ST (°C) at 10cm,ST (°C) at 15cm,ST (°C) at 20cm,ST (°C) at 30cm,ST (°C) at 40cm,ST (°C) at 50cm,ST (°C) at 75cm,ST (°C) at 100cm,ST (°C) at 125cm
2015-01-01,00:00:00,-2.678,-2.635,-2.643,-2.527,-2.378,-2.056,-1.934,-1.689,-1.101,-0.420,-0.009
2015-01-01,01:00:00,-2.635,-2.598,-2.614,-2.505,-2.370,-2.056,-1.930,-1.689,-1.099,-0.420,-0.002
2015-01-01,02:00:00,-2.616,-2.573,-2.593,-2.490,-2.357,-2.055,-1.927,-1.687,-1.091,-0.420,0.000
2015-01-01,03:00:00,-2.614,-2.571,-2.577,-2.475,-2.348,-2.044,-1.927,-1.669,-1.081,-0.418,-0.002
2015-01-01,04:00:00,-2.626,-2.571,-2.572,-2.464,-2.337,-2.036,-1.926,-1.668,-1.080,-0.413,0.001
2015-01-01,05:00:00,-2.633,-2.572,-2.576,-2.462,-2.331,-2.037,-1.920,-1.672,-1.080,-0.408,-0.005
2015-01-01,06:00:00,-2.634,-2.565,-2.570,-2.451,-2.322,-2.032,-1.920,-1.675,-1.078,-0.405,-0.006
2015-01-01,07:00:00,-2.631,-2.560,-2.564,-2.453,-2.324,-2.023,-1.915,-1.677,-1.076,-0.407,-0.008
2015-01-01,08:00:00,-2.625,-2.561,-2.561,-2.452,-2.323,-2.024,-1.916,-1.663,-1.070,-0.408,-0.009
2015-01-01,09:00:00,-2.623,-2.556,-2.554,-2.452,-2.316,-2.024,-1.914,-1.656,-1.068,-0.408,-0.009
2015-01-01,10:00:00,-2.607,-2.542,-2.549,-2.434,-2.304,-2.019,-1.905,-1.656,-1.068,-0.409,-0.009
2015-01-01,11:00:00,-2.604,-2.540,-2.540,-2.433,-2.302,-2.003,-1.895,-1.656,-1.067,-0.409,-0.009
2015-01-01,12:00:00,-2.595,-2.536,-2.538,-2.425,-2.293,-2.003,-1.895,-1.651,-1.065,-0.409,-0.009
2015-01-01,13:00:00,-2.583,-2.518,-2.531,-2.415,-2.286,-1.999,-1.895,-1.637,-1.063,-0.409,-0.009
2015-01-01,14:00:00,-2.579,-2.515,-2.518,-2.411,-2.282,-1.992,-1.893,-1.635,-1.054,-0.409,-0.009
2015-01-01,15:00:00,-2.561,-2.499,-2.511,-2.411,-2.281,-1.983,-1.878,-1.635,-1.047,-0.409,-0.009
2015-01-01,16:00:00,-2.551,-2.498,-2.503,-2.394,-2.269,-1.982,-1.874,-1.635,-1.047,-0.409,-0.010
2015-01-01,17:00:00,-2.545,-2.486,-2.501,-2.393,-2.265,-1.985,-1.875,-1.628,-1.050,-0.412,-0.013
2015-01-01,18:00:00,-2.545,-2.481,-2.495,-2.388,-2.259,-1.970,-1.868,-1.618,-1.045,-0.414,-0.014
2015-01-01,19:00:00,-2.545,-2.478,-2.481,-2.376,-2.252,-1.965,-1.859,-1.619,-1.041,-0.405,-0.015
2015-01-01,20:00:00,-2.535,-2.467,-2.478,-2.374,-2.245,-1.963,-1.857,-1.619,-1.041,-0.394,-0.015
2015-01-01,21:00:00,-2.525,-2.461,-2.470,-2.371,-2.246,-1.955,-1.858,-1.607,-1.031,-0.393,-0.016
2015-01-01,22:00:00,-2.528,-2.465,-2.465,-2.360,-2.236,-1.949,-1.861,-1.602,-1.036,-0.397,-0.020
2015-01-01,23:00:00,-2.519,-2.458,-2.462,-2.358,-2.229,-1.949,-1.843,-1.603,-1.036,-0.397,-0.020
2015-01-02,00:00:00,-2.510,-2.444,-2.459,-2.348,-2.222,-1.940,-1.841,-1.603,-1.034,-0.398,-0.020
2015-01-02,01:00:00,-2.509,-2.445,-2.446,-2.343,-2.214,-1.928,-1.836,-1.594,-1.025,-0.398,-0.021
2015-01-02,02:00:00,-2.514,-2.448,-2.448,-2.343,-2.214,-1.933,-1.827,-1.587,-1.021,-0.398,-0.024
2015-01-02,03:00:00,-2.521,-2.446,-2.446,-2.339,-2.213,-1.922,-1.832,-1.590,-1.023,-0.390,-0.018
2015-01-02,04:00:00,-2.526,-2.446,-2.442,-2.331,-2.204,-1.922,-1.822,-1.582,-1.018,-0.391,-0.013
2015-01-02,05:00:00,-2.540,-2.451,-2.443,-2.333,-2.202,-1.919,-1.817,-1.576,-1.020,-0.392,-0.015
2015-01-02,06:00:00,-2.552,-2.454,-2.447,-2.330,-2.196,-1.908,-1.811,-1.570,-1.014,-0.391,-0.019
2015-01-02,07:00:00,-2.566,-2.464,-2.450,-2.330,-2.194,-1.908,-1.805,-1.563,-1.015,-0.393,-0.021
2015-01-02,08:00:00,-2.583,-2.474,-2.458,-2.329,-2.189,-1.902,-1.801,-1.562,-1.011,-0.396,-0.018
2015-01-02,09:00:00,-2.608,-2.499,-2.467,-2.338,-2.198,-1.897,-1.805,-1.563,-1.008,-0.385,-0.011
2015-01-02,10:00:00,-2.634,-2.507,-2.478,-2.346,-2.204,-1.902,-1.797,-1.557,-1.009,-0.392,-0.014
2015-01-02,11:00:00,-2.661,-2.525,-2.491,-2.353,-2.204,-1.902,-1.794,-1.555,-1.007,-0.392,-0.014
2015-01-02,12:00:00,-2.686,-2.545,-2.504,-2.358,-2.205,-1.901,-1.791,-1.556,-0.999,-0.393,-0.015
2015-01-02,13:00:00,-2.719,-2.568,-2.521,-2.371,-2.211,-1.906,-1.788,-1.560,-1.003,-0.390,-0.019
2015-01-02,14:00:00,-2.750,-2.593,-2.542,-2.384,-2.221,-1.906,-1.789,-1.550,-1.000,-0.386,-0.020
2015-01-02,15:00:00,-2.774,-2.612,-2.558,-2.397,-2.229,-1.905,-1.784,-1.544,-0.994,-0.385,-0.017
2015-01-02,16:00:00,-2.805,-2.641,-2.582,-2.411,-2.237,-1.906,-1.781,-1.539,-0.993,-0.381,-0.019
2015-01-02,17:00:00,-2.832,-2.663,-2.595,-2.426,-2.254,-1.908,-1.778,-1.539,-0.993,-0.376,-0.020
2015-01-02,18:00:00,-2.864,-2.688,-2.616,-2.441,-2.257,-1.910,-1.780,-1.541,-0.994,-0.377,-0.021
