Date,Time_UTC,avgAT_C_1m,avgAT_C_2m,avgRH_1m,avgRH_2m,avgDP_C,totalPPT_mm.hr,sampleSnowDepth_m,sampleWD_Deg,sampleWS_m.s,maxWS_m.s
2013-01-01,00:00:00,-0.99,-0.8,49.57,48.21,-10.17,0,6999,39.96,13.03,14.68
2013-01-01,01:00:00,-1.07,-0.85,47.73,46,-10.69,7777,6999,22.46,8.83,14.15
2013-01-01,02:00:00,-0.69,-0.44,46.1,44.48,-10.91,0,6999,34.61,12.3,13.15
2013-01-01,03:00:00,-0.16,0.07,44.27,42.6,-10.88,0,6999,37.36,9.35,13.56
2013-01-01,04:00:00,-0.67,-0.46,48.54,46.95,-10.14,0,6999,54.37,8.55,15.3
2013-01-01,05:00:00,-1.4,-1.13,51.23,49.53,-10.21,7777,6999,65.42,8.68,11.82
2013-01-01,06:00:00,-1.02,-0.75,50.01,48.35,-10.05,7777,6999,48.45,7.04,10.77
2013-01-01,07:00:00,-1.41,-1.11,48.89,47.33,-10.54,7777,6999,254.6,2.39,6.87
2013-01-01,08:00:00,-0.99,-0.53,48.52,46,-10.7,0,6999,3.23,2.43,5.16
2013-01-01,09:00:00,-0.23,0.11,49.16,47.19,-9.79,0,6999,31.96,8.39,8.55
2013-01-01,10:00:00,0.21,0.48,52.24,50.71,-8.38,0,6999,43.67,7.28,7.94
2013-01-01,11:00:00,-0.62,-0.28,51.53,49.56,-9.08,0,6999,13.5,1.26,6.24
2013-01-01,12:00:00,-0.44,0.16,47.56,46,-10.48,0,6999,46.57,1.16,2.85
2013-01-01,13:00:00,-0.92,-0.47,60.02,57.28,-8.46,0,6999,32.64,3.93,4.6
2013-01-01,14:00:00,-1.88,-1.64,71.97,70.31,-6.33,7777,6999,56.89,5.11,6.42
2013-01-01,15:00:00,-1.48,-1.27,75.92,74.63,-5.24,7777,6999,54.67,6.98,8.41
2013-01-01,16:00:00,-1.65,-1.43,75.1,73.64,-5.58,7777,6999,41.8,4.9,6.92
2013-01-01,17:00:00,-2.36,-1.99,70.89,69.12,-6.6,7777,6999,49.51,1.72,4.92
2013-01-01,18:00:00,-2.65,-2.34,70.96,69.02,-7.08,7777,6999,53.95,3.61,5.48
2013-01-01,19:00:00,-2.42,-2.07,69.46,66.99,-7.32,7777,6999,55.78,5.57,7.48
2013-01-01,20:00:00,-2.73,-2.4,68.31,66.65,-7.79,7777,6999,39.77,4.87,6.16
2013-01-01,21:00:00,-1.95,-1.53,63.66,61.79,-8.37,7777,6999,54.33,6.87,9.06
2013-01-01,22:00:00,-1.13,-0.85,60.57,58.94,-7.82,7777,6999,41.85,9.07,9.07
2013-01-01,23:00:00,-1.21,-1.06,72.61,71.39,-5.55,7777,6999,53.42,10.37,12.45
2013-01-02,00:00:00,-1.86,-1.71,77.77,76.4,-4.64,7777,6999,41.94,12.11,14.63
2013-01-02,01:00:00,-1.8,-1.63,68.51,66.95,-6.96,7777,6999,40.54,11.86,19.2
2013-01-02,02:00:00,-3.9,-3.73,73.95,73.15,-8.25,7777,6999,54.67,19.13,21.71
2013-01-02,03:00:00,-4.29,-4.1,74.76,73.93,-8.1,7777,6999,61.05,14.09,21.05
2013-01-02,04:00:00,-3.69,-3.46,63.98,62.52,-9.49,7777,6999,39.78,17.93,20.14
2013-01-02,05:00:00,-3.62,-3.4,62.51,60.99,-9.79,7777,6999,51.16,18.24,22.23
2013-01-02,06:00:00,-3.51,-3.28,60.71,59.29,-9.97,7777,6999,43.29,15.68,21.92
2013-01-02,07:00:00,-3.72,-3.49,62.78,61.42,-9.99,7777,6999,53.9,16.27,18.07
2013-01-02,08:00:00,-3.92,-3.72,63.94,62.55,-9.66,7777,6999,51.16,17.42,18.58
2013-01-02,09:00:00,-3.92,-3.71,64.55,63.19,-9.54,7777,6999,44.51,14.42,18.73
2013-01-02,10:00:00,-3.7,-3.48,63.81,62.42,-9.76,7777,6999,54.58,16.61,18.42
2013-01-02,11:00:00,-3.49,-3.29,61.66,60.27,-9.81,7777,6999,52.41,15.69,19.52
2013-01-02,12:00:00,-3.36,-3.16,61.49,60.06,-9.65,7777,6999,48.16,15.4,17.24
2013-01-02,13:00:00,-3.3,-3.11,62.71,61.42,-9.43,7777,6999,49.99,16.12,17.02
2013-01-02,14:00:00,-3.26,-3.05,61.76,60.4,-9.49,7777,6999,56.94,12.34,16.56
2013-01-02,15:00:00,-3.4,-3.19,64.65,63.35,-9.09,7777,6999,57.8,12.57,15.52
2013-01-02,16:00:00,-3.47,-3.24,64,62.44,-9.32,7777,6999,52.84,7.72,15.53
2013-01-02,17:00:00,-3.34,-3.11,60.58,59.15,-9.96,7777,6999,44.4,13.84,15.58
2013-01-02,18:00:00,-3.46,-3.24,59.93,58.47,-9.99,7777,6999,47.29,12.81,17.14
2013-01-02,19:00:00,-3.49,-3.26,59.08,57.51,-10.35,7777,6999,50.43,14.13,16.2
2013-01-02,20:00:00,-3.52,-3.3,59.31,57.86,-10.42,7777,6999,56.16,15.62,18.37
2013-01-02,21:00:00,-3.77,-3.57,61.96,60.47,-9.97,7777,6999,50.09,14.12,19.74
