"Date" "Time_AST" "Discharge_cms"
"2015-04-29" "08:47:00" 1.31
"2015-04-29" "09:02:00" 0.72
"2015-04-29" "09:17:00" 0
"2015-04-29" "09:32:00" 0.08
"2015-04-29" "09:47:00" 0.16
"2015-04-29" "10:02:00" 0.24
"2015-04-29" "10:17:00" 0.33
"2015-04-29" "10:32:00" 0.41
"2015-04-29" "10:47:00" 0.49
"2015-04-29" "11:02:00" 0.57
"2015-04-29" "11:17:00" 0.65
"2015-04-29" "11:32:00" 0.73
"2015-04-29" "11:47:00" 0.82
"2015-04-29" "12:02:00" 0.9
"2015-04-29" "12:17:00" 0.98
"2015-04-29" "12:32:00" 0.91
"2015-04-29" "12:47:00" 1.14
"2015-04-29" "13:02:00" 1.14
"2015-04-29" "13:17:00" 1.07
"2015-04-29" "13:32:00" 1.03
"2015-04-29" "13:47:00" 1.14
"2015-04-29" "14:02:00" 1.14
"2015-04-29" "14:17:00" 1.19
"2015-04-29" "14:32:00" 1.49
"2015-04-29" "14:47:00" 1.7
"2015-04-29" "15:02:00" 1.56
"2015-04-29" "15:17:00" 1.42
"2015-04-29" "15:32:00" 1.38
"2015-04-29" "15:47:00" 1.26
"2015-04-29" "16:02:00" 1.24
"2015-04-29" "16:17:00" 1.21
"2015-04-29" "16:32:00" 1.17
"2015-04-29" "16:47:00" 1.21
"2015-04-29" "17:02:00" 1.26
"2015-04-29" "17:17:00" 1.19
"2015-04-29" "17:32:00" 1.14
"2015-04-29" "17:47:00" 1.05
"2015-04-29" "18:02:00" 1.05
"2015-04-29" "18:17:00" 1.07
"2015-04-29" "18:32:00" 1.24
"2015-04-29" "18:47:00" 1.31
"2015-04-29" "19:02:00" 1.35
"2015-04-29" "19:17:00" 1.4
"2015-04-29" "19:32:00" 1.42
"2015-04-29" "19:47:00" 1.4
"2015-04-29" "20:02:00" 1.4
"2015-04-29" "20:17:00" 1.31
"2015-04-29" "20:32:00" 1.31
"2015-04-29" "20:47:00" 1.21
"2015-04-29" "21:02:00" 1.19
"2015-04-29" "21:17:00" 1.17
"2015-04-29" "21:32:00" 1.21
"2015-04-29" "21:47:00" 1.14
"2015-04-29" "22:02:00" 1.21
"2015-04-29" "22:17:00" 1.12
"2015-04-29" "22:32:00" 1.1
"2015-04-29" "22:47:00" 1.12
"2015-04-29" "23:02:00" 1.03
"2015-04-29" "23:17:00" 1.03
"2015-04-29" "23:32:00" 1
"2015-04-29" "23:47:00" 0.93
"2015-04-30" "00:02:00" 0.93
"2015-04-30" "00:17:00" 0.86
"2015-04-30" "00:32:00" 0.79
"2015-04-30" "00:47:00" 0.77
"2015-04-30" "01:02:00" 0.72
"2015-04-30" "01:17:00" 0.7
"2015-04-30" "01:32:00" 0.65
"2015-04-30" "01:47:00" 0.7
"2015-04-30" "02:02:00" 0.63
"2015-04-30" "02:17:00" 0.63
"2015-04-30" "02:32:00" 0.65
"2015-04-30" "02:47:00" 0.65
"2015-04-30" "03:02:00" 0.61
"2015-04-30" "03:17:00" 0.65
"2015-04-30" "03:32:00" 0.61
"2015-04-30" "03:47:00" 0.56
"2015-04-30" "04:02:00" 0.68
"2015-04-30" "04:17:00" 0.7
"2015-04-30" "04:32:00" 0.63
"2015-04-30" "04:47:00" 0.61
"2015-04-30" "05:02:00" 0.65
