Date	Time (AST)	Discharge (cms)
04/29/15	8:47	1.31
04/29/15	9:02	0.72
04/29/15	9:17	0.00
04/29/15	9:32	0.08
04/29/15	9:47	0.16
04/29/15	10:02	0.24
04/29/15	10:17	0.33
04/29/15	10:32	0.41
04/29/15	10:47	0.49
04/29/15	11:02	0.57
04/29/15	11:17	0.65
04/29/15	11:32	0.73
04/29/15	11:47	0.82
04/29/15	12:02	0.90
04/29/15	12:17	0.98
04/29/15	12:32	0.91
04/29/15	12:47	1.14
04/29/15	13:02	1.14
04/29/15	13:17	1.07
04/29/15	13:32	1.03
04/29/15	13:47	1.14
04/29/15	14:02	1.14
04/29/15	14:17	1.19
04/29/15	14:32	1.49
04/29/15	14:47	1.70
04/29/15	15:02	1.56
04/29/15	15:17	1.42
04/29/15	15:32	1.38
04/29/15	15:47	1.26
04/29/15	16:02	1.24
04/29/15	16:17	1.21
04/29/15	16:32	1.17
04/29/15	16:47	1.21
04/29/15	17:02	1.26
04/29/15	17:17	1.19
04/29/15	17:32	1.14
04/29/15	17:47	1.05
04/29/15	18:02	1.05
04/29/15	18:17	1.07
04/29/15	18:32	1.24
04/29/15	18:47	1.31
04/29/15	19:02	1.35
04/29/15	19:17	1.40
04/29/15	19:32	1.42
04/29/15	19:47	1.40
04/29/15	20:02	1.40
04/29/15	20:17	1.31
04/29/15	20:32	1.31
04/29/15	20:47	1.21
04/29/15	21:02	1.19
04/29/15	21:17	1.17
04/29/15	21:32	1.21
04/29/15	21:47	1.14
04/29/15	22:02	1.21
04/29/15	22:17	1.12
04/29/15	22:32	1.10
04/29/15	22:47	1.12
04/29/15	23:02	1.03
04/29/15	23:17	1.03
04/29/15	23:32	1.00
04/29/15	23:47	0.93
04/30/15	0:02	0.93
04/30/15	0:17	0.86
04/30/15	0:32	0.79
04/30/15	0:47	0.77
04/30/15	1:02	0.72
04/30/15	1:17	0.70
04/30/15	1:32	0.65
04/30/15	1:47	0.70
04/30/15	2:02	0.63
04/30/15	2:17	0.63
04/30/15	2:32	0.65
04/30/15	2:47	0.65
04/30/15	3:02	0.61
04/30/15	3:17	0.65
04/30/15	3:32	0.61
04/30/15	3:47	0.56
04/30/15	4:02	0.68
04/30/15	4:17	0.70
04/30/15	4:32	0.63
04/30/15	4:47	0.61
04/30/15	5:02	0.65
04/30/15	5:17	0.61
04/30/15	5:32	0.65
04/30/15	5:47	0.56
04/30/15	6:02	0.51
04/30/15	6:17	0.44
04/30/15	6:32	0.37
04/30/15	6:47	0.33
04/30/15	7:02	0.33
04/30/15	7:17	0.33
04/30/15	7:32	0.23
04/30/15	7:47	0.26
04/30/15	8:02	0.21
04/30/15	8:17	0.30
04/30/15	8:32	0.26
04/30/15	8:47	0.33
04/30/15	9:02	0.28
