Date	Time (AKST)	Discharge (cms)
5/1/16	21:30	5.09
5/1/16	21:45	5.09
5/1/16	22:00	5.07
5/1/16	22:15	5.04
5/1/16	22:30	4.96
5/1/16	22:45	4.94
5/1/16	23:00	4.93
5/1/16	23:15	4.80
5/1/16	23:30	4.73
5/1/16	23:45	4.61
5/2/16	0:00	4.50
5/2/16	0:15	4.51
5/2/16	0:30	4.47
5/2/16	0:45	4.54
5/2/16	1:00	4.56
5/2/16	1:15	4.53
5/2/16	1:30	4.57
5/2/16	1:45	4.47
5/2/16	2:00	4.41
5/2/16	2:15	4.35
5/2/16	2:30	4.33
5/2/16	2:45	4.28
5/2/16	3:00	4.30
5/2/16	3:15	4.30
5/2/16	3:30	4.31
5/2/16	3:45	4.33
5/2/16	4:00	4.41
5/2/16	4:15	4.51
5/2/16	4:30	4.56
5/2/16	4:45	4.70
5/2/16	5:00	4.68
5/2/16	5:15	4.64
5/2/16	5:30	4.61
5/2/16	5:45	4.60
5/2/16	6:00	4.60
5/2/16	6:15	4.61
5/2/16	6:30	4.61
5/2/16	6:45	4.61
5/2/16	7:00	4.63
5/2/16	7:15	4.66
5/2/16	7:30	4.67
5/2/16	7:45	4.71
5/2/16	8:00	4.77
5/2/16	8:15	4.87
5/2/16	8:30	4.93
5/2/16	8:45	4.97
5/2/16	9:00	4.94
5/2/16	9:15	4.91
5/2/16	9:30	4.87
5/2/16	9:45	4.80
5/2/16	10:00	4.74
5/2/16	10:15	4.73
5/2/16	10:30	4.71
5/2/16	10:45	4.74
5/2/16	11:00	4.79
5/2/16	11:15	4.77
5/2/16	11:30	4.76
5/2/16	11:45	4.74
5/2/16	12:00	4.74
5/2/16	12:15	4.68
5/2/16	12:30	4.67
5/2/16	12:45	4.66
5/2/16	13:00	4.66
5/2/16	13:15	4.66
5/2/16	13:30	4.64
5/2/16	13:45	4.64
5/2/16	14:00	4.67
5/2/16	14:15	4.67
5/2/16	14:30	4.66
5/2/16	14:45	4.66
5/2/16	15:00	4.66
5/2/16	15:15	4.66
5/2/16	15:30	4.70
5/2/16	15:45	4.74
5/2/16	16:00	4.77
5/2/16	16:15	4.81
5/2/16	16:30	4.83
5/2/16	16:45	4.80
5/2/16	17:00	4.81
5/2/16	17:15	4.84
5/2/16	17:30	4.84
5/2/16	17:45	4.83
5/2/16	18:00	4.81
5/2/16	18:15	4.83
5/2/16	18:30	4.83
5/2/16	18:45	4.83
5/2/16	19:00	4.83
5/2/16	19:15	4.84
5/2/16	19:30	4.83
5/2/16	19:45	4.86
5/2/16	20:00	4.84
5/2/16	20:15	4.84
5/2/16	20:30	4.81
5/2/16	20:45	4.81
5/2/16	21:00	4.80
5/2/16	21:15	4.80
5/2/16	21:30	4.79
5/2/16	21:45	4.67
5/2/16	22:00	4.79
5/2/16	22:15	4.81
5/2/16	22:30	4.81
5/2/16	22:45	4.81
5/2/16	23:00	4.80
5/2/16	23:15	4.80
5/2/16	23:30	4.79
5/2/16	23:45	4.77
5/3/16	0:00	4.77
5/3/16	0:15	4.77
5/3/16	0:30	4.77
5/3/16	0:45	4.76
5/3/16	1:00	4.74
5/3/16	1:15	4.76
5/3/16	1:30	4.74
5/3/16	1:45	4.71
5/3/16	2:00	4.74
5/3/16	2:15	4.08
5/3/16	2:30	4.35
5/3/16	2:45	4.58
5/3/16	3:00	4.64
5/3/16	3:15	4.68
5/3/16	3:30	4.57
5/3/16	3:45	4.51
5/3/16	4:00	4.25
5/3/16	4:15	4.64
5/3/16	4:30	4.64
5/3/16	4:45	4.63
5/3/16	5:00	4.58
5/3/16	5:15	4.60
5/3/16	5:30	4.60
5/3/16	5:45	4.57
5/3/16	6:00	4.57
5/3/16	6:15	4.56
5/3/16	6:30	4.44
5/3/16	6:45	4.41
5/3/16	7:00	4.40
5/3/16	7:15	4.40
5/3/16	7:30	4.38
5/3/16	7:45	4.38
5/3/16	8:00	4.40
5/3/16	8:15	4.40
5/3/16	8:30	4.41
5/3/16	8:45	4.41
5/3/16	9:00	4.44
5/3/16	9:15	4.44
5/3/16	9:30	4.45
5/3/16	9:45	4.48
5/3/16	10:00	4.51
5/3/16	10:15	4.53
5/3/16	10:30	4.57
5/3/16	10:45	4.53
5/3/16	11:00	4.40
5/3/16	11:15	4.37
5/3/16	11:30	4.37
5/3/16	11:45	4.37
5/3/16	12:00	4.38
5/3/16	12:15	4.43
5/3/16	12:30	4.44
5/3/16	12:45	4.48
5/3/16	13:00	4.50
5/3/16	13:15	4.51
5/3/16	13:30	4.50
5/3/16	13:45	4.43
5/3/16	14:00	4.43
5/3/16	14:15	4.47
5/3/16	14:30	4.50
5/3/16	14:45	4.45
5/3/16	15:00	4.44
5/3/16	15:15	4.38
5/3/16	15:30	4.38
5/3/16	15:45	4.44
5/3/16	16:00	4.47
5/3/16	16:15	4.47
5/3/16	16:30	4.47
5/3/16	16:45	4.44
5/3/16	17:00	4.45
5/3/16	17:15	4.45
5/3/16	17:30	4.48
5/3/16	17:45	4.54
5/3/16	18:00	4.58
5/3/16	18:15	4.61
5/3/16	18:30	4.64
5/3/16	18:45	4.67
5/3/16	19:00	4.73
5/3/16	19:15	4.74
5/3/16	19:30	4.77
5/3/16	19:45	4.76
5/3/16	20:00	4.76
5/3/16	20:15	4.76
5/3/16	20:30	4.76
5/3/16	20:45	4.77
5/3/16	21:00	4.77
5/3/16	21:15	4.74
5/3/16	21:30	4.74
5/3/16	21:45	4.74
5/3/16	22:00	4.73
5/3/16	22:15	4.73
5/3/16	22:30	4.74
5/3/16	22:45	4.74
5/3/16	23:00	4.71
5/3/16	23:15	4.56
5/3/16	23:30	4.56
5/3/16	23:45	4.58
5/4/16	0:00	4.64
5/4/16	0:15	4.74
5/4/16	0:30	4.73
5/4/16	0:45	4.70
5/4/16	1:00	4.68
5/4/16	1:15	4.67
5/4/16	1:30	4.64
5/4/16	1:45	4.61
5/4/16	2:00	4.61
5/4/16	2:15	4.60
5/4/16	2:30	4.56
5/4/16	2:45	4.57
5/4/16	3:00	4.54
5/4/16	3:15	4.51
5/4/16	3:30	4.51
5/4/16	3:45	4.50
5/4/16	4:00	4.47
5/4/16	4:15	4.45
5/4/16	4:30	4.44
5/4/16	4:45	4.44
5/4/16	5:00	4.43
5/4/16	5:15	4.44
5/4/16	5:30	4.43
5/4/16	5:45	4.41
5/4/16	6:00	4.41
5/4/16	6:15	4.40
5/4/16	6:30	4.41
5/4/16	6:45	4.40
5/4/16	7:00	4.41
5/4/16	7:15	4.40
5/4/16	7:30	4.40
5/4/16	7:45	4.40
5/4/16	8:00	4.40
5/4/16	8:15	4.44
5/4/16	8:30	4.44
5/4/16	8:45	4.47
5/4/16	9:00	4.53
5/4/16	9:15	4.54
5/4/16	9:30	4.63
5/4/16	9:45	4.70
5/4/16	10:00	4.45
5/4/16	10:15	4.17
5/4/16	10:30	4.21
5/4/16	10:45	4.80
5/4/16	11:00	4.73
5/4/16	11:15	4.67
5/4/16	11:30	4.63
5/4/16	11:45	4.61
5/4/16	12:00	4.61
5/4/16	12:15	4.58
5/4/16	12:30	4.58
5/4/16	12:45	4.56
5/4/16	13:00	4.53
5/4/16	13:15	4.54
5/4/16	13:30	4.48
5/4/16	13:45	4.50
5/4/16	14:00	4.53
5/4/16	14:15	4.54
5/4/16	14:30	4.54
5/4/16	14:45	4.56
5/4/16	15:00	4.54
5/4/16	15:15	4.51
5/4/16	15:30	4.53
5/4/16	15:45	4.57
5/4/16	16:00	4.60
5/4/16	16:15	4.57
5/4/16	16:30	4.58
5/4/16	16:45	4.60
5/4/16	17:00	4.60
5/4/16	17:15	4.63
5/4/16	17:30	4.66
5/4/16	17:45	4.73
5/4/16	18:00	4.83
5/4/16	18:15	4.89
5/4/16	18:30	4.91
5/4/16	18:45	4.94
5/4/16	19:00	4.99
5/4/16	19:15	5.00
5/4/16	19:30	5.02
5/4/16	19:45	5.03
5/4/16	20:00	5.03
5/4/16	20:15	4.99
5/4/16	20:30	4.97
5/4/16	20:45	4.96
5/4/16	21:00	4.90
5/4/16	21:15	4.84
5/4/16	21:30	4.68
5/4/16	21:45	4.64
5/4/16	22:00	4.61
5/4/16	22:15	4.63
5/4/16	22:30	4.64
5/4/16	22:45	4.63
5/4/16	23:00	4.58
5/4/16	23:15	4.56
5/4/16	23:30	4.53
5/4/16	23:45	4.54
5/5/16	0:00	4.64
5/5/16	0:15	4.71
5/5/16	0:30	4.79
5/5/16	0:45	4.77
5/5/16	1:00	4.74
5/5/16	1:15	4.67
5/5/16	1:30	4.68
5/5/16	1:45	4.66
5/5/16	2:00	4.57
5/5/16	2:15	4.57
5/5/16	2:30	4.60
5/5/16	2:45	4.57
5/5/16	3:00	4.48
5/5/16	3:15	4.47
5/5/16	3:30	4.45
5/5/16	3:45	4.44
5/5/16	4:00	4.44
5/5/16	4:15	4.43
5/5/16	4:30	4.40
5/5/16	4:45	4.37
5/5/16	5:00	4.34
5/5/16	5:15	4.34
5/5/16	5:30	4.34
5/5/16	5:45	4.35
5/5/16	6:00	4.40
5/5/16	6:15	4.47
