Date	Time	WaterDischarge_m3 s-1
2015-06-18	09:00	8.535
2015-06-18	09:10	8.331
2015-06-18	09:20	8.183
2015-06-18	09:30	7.984
2015-06-18	09:40	7.853
2015-06-18	09:50	7.828
2015-06-18	10:00	7.856
2015-06-18	10:10	7.809
2015-06-18	10:20	7.761
2015-06-18	10:30	7.741
2015-06-18	10:40	7.886
2015-06-18	10:50	7.928
2015-06-18	11:00	7.969
2015-06-18	11:10	7.83
2015-06-18	11:20	7.849
2015-06-18	11:30	7.816
2015-06-18	11:40	7.824
2015-06-18	11:50	8.124
2015-06-18	12:00	8.106
2015-06-18	12:10	7.965
2015-06-18	12:20	8.01
2015-06-18	12:30	7.843
2015-06-18	12:40	8.015
2015-06-18	12:50	7.949
2015-06-18	13:00	8.042
2015-06-18	13:10	8.097
2015-06-18	13:20	8.259
2015-06-18	13:30	8.207
2015-06-18	13:40	8.174
2015-06-18	13:50	8.196
2015-06-18	14:00	8.489
2015-06-18	14:10	8.535
2015-06-18	14:20	8.336
2015-06-18	14:30	8.657
2015-06-18	14:40	8.313
2015-06-18	14:50	8.327
2015-06-18	15:00	8.449
2015-06-18	15:10	8.762
2015-06-18	15:20	8.66
2015-06-18	15:30	8.587
2015-06-18	15:40	8.593
2015-06-18	15:50	8.682
2015-06-18	16:00	8.688
2015-06-18	16:10	8.637
2015-06-18	16:20	8.698
2015-06-18	16:30	8.703
2015-06-18	16:40	8.766
2015-06-18	16:50	8.857
2015-06-18	17:00	9.641
2015-06-18	17:10	9.801
2015-06-18	17:20	8.888
2015-06-18	17:30	9.098
2015-06-18	17:40	9.341
2015-06-18	17:50	9.298
2015-06-18	18:00	9.311
2015-06-18	18:10	9.378
2015-06-18	18:20	9.386
2015-06-18	18:30	9.366
2015-06-18	18:40	9.275
2015-06-18	18:50	9.327
2015-06-18	19:00	9.236
2015-06-18	19:10	9.116
2015-06-18	19:20	9.226
2015-06-18	19:30	9.135
2015-06-18	19:40	9.172
2015-06-18	19:50	9.209
2015-06-18	20:00	9.247
2015-06-18	20:10	9.307
2015-06-18	20:20	9.339
2015-06-18	20:30	9.313
2015-06-18	20:40	9.106
2015-06-18	20:50	9.243
2015-06-18	21:00	8.98
2015-06-18	21:10	9.429
2015-06-18	21:20	9.188
2015-06-18	21:30	9.207
2015-06-18	21:40	9.231
2015-06-18	21:50	9.168
2015-06-18	22:00	9.077
2015-06-18	22:10	8.961
2015-06-18	22:20	9.243
2015-06-18	22:30	9.153
2015-06-18	22:40	9.119
2015-06-18	22:50	9.084
2015-06-18	23:00	8.993
2015-06-18	23:10	8.935
2015-06-18	23:20	8.962
2015-06-18	23:30	8.876
2015-06-18	23:40	8.79
2015-06-18	23:50	8.76
2015-06-19	00:00	8.786
2015-06-19	00:10	8.734
2015-06-19	00:20	8.6
2015-06-19	00:30	8.687
2015-06-19	00:40	8.539
2015-06-19	00:50	8.447
